Crime Against Category,Offense,Sector,Beat,MCPP,Time,Day,Year
2,53,5,2,BALLARD SOUTH,1587,6,0
2,53,22,48,ROOSEVELT/RAVENNA,1699,4,0
2,12,22,49,UNIVERSITY,1806,1,0
2,33,8,12,CAPITOL HILL,1562,1,0
2,44,14,30,SLU/CASCADE,692,1,0
2,51,14,31,DOWNTOWN COMMERCIAL,1522,1,0
2,51,13,27,NORTHGATE,0,1,0
2,26,5,2,BALLARD SOUTH,984,4,0
2,51,13,27,NORTHGATE,1598,1,0
2,1,6,5,CAPITOL HILL,1228,1,0
2,5,8,12,FIRST HILL,1491,1,0
2,44,8,11,CAPITOL HILL,0,1,0
2,44,10,17,FIRST HILL,1555,1,0
3,15,14,31,DOWNTOWN COMMERCIAL,1256,1,0
2,10,13,27,NORTHGATE,0,0,0
2,46,22,50,ROOSEVELT/RAVENNA,1257,1,0
2,46,22,49,UNIVERSITY,1222,1,0
2,50,14,30,SLU/CASCADE,1424,1,0
3,13,14,30,SLU/CASCADE,1429,1,0
2,19,22,49,UNIVERSITY,905,1,0
2,27,7,9,QUEEN ANNE,0,6,0
2,54,18,40,QUEEN ANNE,1157,0,0
2,44,22,49,UNIVERSITY,1108,1,0
2,51,13,27,NORTHGATE,1227,1,0
2,51,8,12,CAPITOL HILL,869,5,0
2,46,14,30,DOWNTOWN COMMERCIAL,1009,1,0
2,1,12,24,DOWNTOWN COMMERCIAL,1113,4,0
2,53,14,29,DOWNTOWN COMMERCIAL,1606,6,0
2,12,12,23,DOWNTOWN COMMERCIAL,1022,1,0
2,26,7,10,SLU/CASCADE,756,0,0
2,53,5,2,BALLARD SOUTH,1428,4,0
2,53,22,48,ROOSEVELT/RAVENNA,768,1,0
2,5,14,30,SLU/CASCADE,1277,4,0
2,46,14,31,DOWNTOWN COMMERCIAL,1007,1,0
2,53,14,30,SLU/CASCADE,1938,4,0
2,12,11,22,ROOSEVELT/RAVENNA,0,0,0
2,19,8,12,CAPITOL HILL,727,1,0
2,46,22,50,ROOSEVELT/RAVENNA,1777,0,0
2,46,14,30,DOWNTOWN COMMERCIAL,686,1,0
2,19,14,30,SLU/CASCADE,0,2,0
2,1,8,12,CAPITOL HILL,827,0,0
2,53,8,13,FIRST HILL,939,6,0
2,44,12,24,DOWNTOWN COMMERCIAL,732,1,0
2,9,13,27,NORTHGATE,661,0,0
2,53,10,17,FIRST HILL,1339,0,0
2,12,18,40,QUEEN ANNE,689,1,0
